date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:01:24	26/26	---M--	200	added ('OK')	text/plain	date:Thu,%2012%20Apr%202018%2019:01:27%20GMT	http://nlppossibilities.com/robots.txt		(from )
15:01:25	114609/114609	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Apr%202018%2019:01:27%20GMT	http://nlppossibilities.com/	E:/nlppossibilities/NLP%20Possibilities/nlppossibilities.com/index.html	(from )
15:01:27	2938/2938	---M--	200	added ('OK')	image/jpeg	etag:%2257f688b9-b7a%22	http://nlpdhe.wpengine.com/wp-content/uploads/2015/01/Gauge.jpg	E:/nlppossibilities/NLP%20Possibilities/nlpdhe.wpengine.com/wp-content/uploads/2015/01/Gauge.jpg	(from http://nlppossibilities.com/)
15:01:28	19735/19735	---M--	200	added ('OK')	image/jpeg	etag:%2257f688b9-4d17%22	http://nlpdhe.wpengine.com/wp-content/uploads/2015/01/NLP-Possibilities-No-DHE.jpg	E:/nlppossibilities/NLP%20Possibilities/nlpdhe.wpengine.com/wp-content/uploads/2015/01/NLP-Possibilities-No-DHE.jpg	(from http://nlppossibilities.com/)
15:01:28	35943/35943	---MC-	200	added ('OK')	text/javascript	date:Mon,%2013%20Nov%202017%2020:19:12%20GMT	http://www.google-analytics.com/analytics.js	E:/nlppossibilities/NLP%20Possibilities/www.google-analytics.com/analytics.js	(from http://nlppossibilities.com/)
15:01:31	13452/13452	---M--	200	added ('OK')	image/png	etag:%2257f688b9-348c%22	http://nlpdhe.wpengine.com/wp-content/uploads/2014/10/image1_8.png	E:/nlppossibilities/NLP%20Possibilities/nlpdhe.wpengine.com/wp-content/uploads/2014/10/image1_8.png	(from http://nlppossibilities.com/)
15:01:33	13452/13452	---M--	200	added ('OK')	image/png	etag:%2257f688b9-348c%22	http://nlpdhe.wpengine.com/wp-content/uploads/2014/12/image3_1.png	E:/nlppossibilities/NLP%20Possibilities/nlpdhe.wpengine.com/wp-content/uploads/2014/12/image3_1.png	(from http://nlppossibilities.com/)
15:01:36	47676/47676	---M--	200	added ('OK')	image/jpeg	etag:%2257f688b9-ba3c%22	http://nlpdhe.wpengine.com/wp-content/uploads/2014/12/SOCLOGO1.jpg	E:/nlppossibilities/NLP%20Possibilities/nlpdhe.wpengine.com/wp-content/uploads/2014/12/SOCLOGO1.jpg	(from http://nlppossibilities.com/)
15:01:57	124333/124333	---M--	200	added ('OK')	image/png	etag:%2257f688b9-1e5ad%22	http://nlpdhe.wpengine.com/wp-content/uploads/2015/01/Gary-S-circular.png	E:/nlppossibilities/NLP%20Possibilities/nlpdhe.wpengine.com/wp-content/uploads/2015/01/Gary-S-circular.png	(from http://nlppossibilities.com/)
15:02:07	62860/62860	---M--	200	added ('OK')	image/png	etag:%2257f688b9-f58c%22	http://nlpdhe.wpengine.com/wp-content/uploads/2015/01/Alvin-B.-circular.png	E:/nlppossibilities/NLP%20Possibilities/nlpdhe.wpengine.com/wp-content/uploads/2015/01/Alvin-B.-circular.png	(from http://nlppossibilities.com/)
15:02:12	30812/30812	---M--	200	added ('OK')	image/png	etag:%2257f688b9-785c%22	http://nlpdhe.wpengine.com/wp-content/uploads/2015/01/Andrea-S.-circular.png	E:/nlppossibilities/NLP%20Possibilities/nlpdhe.wpengine.com/wp-content/uploads/2015/01/Andrea-S.-circular.png	(from http://nlppossibilities.com/)
15:02:18	324584/324584	---M--	200	added ('OK')	image/png	etag:%2257f688b9-4f3e8%22	http://nlpdhe.wpengine.com/wp-content/uploads/2014/12/Richard-Bandler-Face-Photo.png	E:/nlppossibilities/NLP%20Possibilities/nlpdhe.wpengine.com/wp-content/uploads/2014/12/Richard-Bandler-Face-Photo.png	(from http://nlppossibilities.com/)
15:02:24	38420/38420	---M--	200	added ('OK')	image/png	etag:%2257f688b9-9614%22	http://nlpdhe.wpengine.com/wp-content/uploads/2014/12/image9.png	E:/nlppossibilities/NLP%20Possibilities/nlpdhe.wpengine.com/wp-content/uploads/2014/12/image9.png	(from http://nlppossibilities.com/)
15:02:32	45065/45065	---M--	200	added ('OK')	image/jpeg	etag:%2257f688b9-b009%22	http://nlpdhe.wpengine.com/wp-content/uploads/2015/01/Elizabeth-resized.jpg	E:/nlppossibilities/NLP%20Possibilities/nlpdhe.wpengine.com/wp-content/uploads/2015/01/Elizabeth-resized.jpg	(from http://nlppossibilities.com/)
15:03:19	703693/703693	---M--	200	added ('OK')	image/jpeg	etag:%2257f688ba-abccd%22	http://nlpdhe.wpengine.com/wp-content/uploads/2014/12/Society-of-NLP.jpg	E:/nlppossibilities/NLP%20Possibilities/nlpdhe.wpengine.com/wp-content/uploads/2014/12/Society-of-NLP.jpg	(from http://nlppossibilities.com/)
15:04:11	1086909/1086909	---M--	200	added ('OK')	image/png	etag:%2257f688ba-1095bd%22	http://nlpdhe.wpengine.com/wp-content/uploads/2015/01/Max-S.-circular.png	E:/nlppossibilities/NLP%20Possibilities/nlpdhe.wpengine.com/wp-content/uploads/2015/01/Max-S.-circular.png	(from http://nlppossibilities.com/)
15:05:04	1373562/1373562	---M--	200	added ('OK')	image/png	etag:%2257f688ba-14f57a%22	http://nlpdhe.wpengine.com/wp-content/uploads/2014/12/image3.png	E:/nlppossibilities/NLP%20Possibilities/nlpdhe.wpengine.com/wp-content/uploads/2014/12/image3.png	(from http://nlppossibilities.com/)
15:05:14	1742873/1742873	---M--	200	added ('OK')	image/png	etag:%2257f688ba-1a9819%22	http://nlpdhe.wpengine.com/wp-content/uploads/2015/01/Andre-L.png	E:/nlppossibilities/NLP%20Possibilities/nlpdhe.wpengine.com/wp-content/uploads/2015/01/Andre-L.png	(from http://nlppossibilities.com/)
